indicator,category,name,symbol,crash_type,precision,recall,f1,avg_lead_time,median_lead_time,false_alarm_rate,total_signals,true_positives,false_positives,detected_crashes,missed_crashes,total_crashes
M4,momentum,MACD Histogram Neg Flip,OP,A,0.36363636363636365,0.7037037037037037,0.4794952681388012,8.4,8.0,0.6363636363636364,55,20,35,19,8,27
M4,momentum,MACD Histogram Neg Flip,OP,B,0.2909090909090909,0.40625,0.33903830480847597,11.0,12.0,0.7090909090909091,55,16,39,13,19,32
M4,momentum,MACD Histogram Neg Flip,OP,C,0.09090909090909091,0.8,0.163265306122449,10.6,10.0,0.9090909090909091,55,5,50,4,1,5
M4,momentum,MACD Histogram Neg Flip,OP,D,0.21818181818181817,0.43478260869565216,0.29055690072639223,10.666666666666666,9.0,0.7818181818181819,55,12,43,10,13,23
M4,momentum,MACD Histogram Neg Flip,AVAX,ALL,0.30434782608695654,0.43333333333333335,0.35756385068762286,10.285714285714286,11.0,0.6956521739130435,46,14,32,13,17,30
M4,momentum,MACD Histogram Neg Flip,AVAX,A,0.391304347826087,0.6666666666666666,0.4931506849315068,8.833333333333334,4.0,0.6086956521739131,46,18,28,16,8,24
M4,momentum,MACD Histogram Neg Flip,AVAX,B,0.30434782608695654,0.4482758620689655,0.36254980079681276,11.0,13.5,0.6956521739130435,46,14,32,13,16,29
M4,momentum,MACD Histogram Neg Flip,AVAX,C,0.021739130434782608,0.2,0.0392156862745098,8.0,8.0,0.9782608695652174,46,1,45,1,4,5
M4,momentum,MACD Histogram Neg Flip,AVAX,D,0.2608695652173913,0.5,0.3428571428571428,11.5,11.0,0.7391304347826086,46,12,34,11,11,22
M4,momentum,MACD Histogram Neg Flip,XRP,ALL,0.3269230769230769,0.4838709677419355,0.39020657995409336,10.176470588235293,11.0,0.6730769230769231,52,17,35,15,16,31
M4,momentum,MACD Histogram Neg Flip,XRP,A,0.2692307692307692,0.7222222222222222,0.39224137931034475,7.571428571428571,4.5,0.7307692307692307,52,14,38,13,5,18
M4,momentum,MACD Histogram Neg Flip,XRP,B,0.2692307692307692,0.4782608695652174,0.34451901565995524,9.857142857142858,10.0,0.7307692307692307,52,14,38,11,12,23
M4,momentum,MACD Histogram Neg Flip,XRP,C,0.15384615384615385,0.5714285714285714,0.24242424242424246,9.75,9.0,0.8461538461538461,52,8,44,8,6,14
