symbol,cluster_id,cluster_start,cluster_end,n_event_days,types,peak_decline,has_A,has_B,has_C,has_D
XLM,XLM_21,2025-10-10,2025-10-16,3,A|B|D,-0.21442639094042348,True,True,False,True
XLM,XLM_22,2025-11-03,2025-11-17,4,A|B|D,-0.17770382695507492,True,True,False,True
XLM,XLM_23,2025-12-17,2025-12-17,1,A,-0.1572,True,False,False,False
XLM,XLM_24,2026-01-20,2026-02-05,4,A|B|D,-0.30743879472693025,True,True,False,True
XLM,XLM_25,2026-05-30,2026-06-05,4,A|B|D,-0.22393228164678736,True,True,False,True
XRP,XRP_0,2022-01-05,2022-01-05,1,B,-0.100163056137899,False,True,False,False
XRP,XRP_1,2022-01-21,2022-01-21,1,A|B|D,-0.17640972581479564,True,True,False,True
XRP,XRP_2,2022-02-11,2022-02-22,4,A|B|D,-0.1758073987081621,True,True,False,True
XRP,XRP_3,2022-04-11,2022-04-11,1,A,-0.1588377723970944,True,False,False,False
XRP,XRP_4,2022-04-26,2022-05-11,5,A|B|D,-0.36031892057651027,True,True,False,True
XRP,XRP_5,2022-06-11,2022-06-29,5,A|B|C|D,-0.6238731028186694,True,True,True,True
XRP,XRP_6,2022-08-19,2022-08-19,1,B|D,-0.11299734748010615,False,True,False,True
XRP,XRP_7,2022-11-08,2022-11-13,4,A|B|D,-0.25928396708917056,True,True,False,True
XRP,XRP_8,2022-12-16,2022-12-16,1,B,-0.11158906882591091,False,True,False,False
XRP,XRP_9,2023-03-22,2023-03-22,1,D,-0.10285349233390118,False,False,False,True
XRP,XRP_10,2023-04-21,2023-04-21,1,B,-0.15646130728775354,False,True,False,False
XRP,XRP_11,2023-07-14,2023-08-21,5,A|B|C|D,-0.38260763507744844,True,True,True,True
XRP,XRP_12,2023-11-14,2023-11-14,1,C,-0.2321014757897304,False,False,True,False
XRP,XRP_13,2023-12-11,2023-12-11,1,C,-0.24539577997316742,False,False,True,False
XRP,XRP_14,2024-03-05,2024-03-19,4,A|B|C|D,-0.22649103549213312,True,True,True,True
XRP,XRP_15,2024-04-12,2024-04-13,2,A|B|D,-0.19258010118043845,True,True,False,True
XRP,XRP_16,2024-07-05,2024-07-18,2,B|D,-0.12404698124871216,False,True,False,True
XRP,XRP_17,2024-08-02,2024-08-11,3,A|B|C,-0.23540802213001388,True,True,True,False
XRP,XRP_18,2024-08-27,2024-08-27,1,C,-0.21632088520055326,False,False,True,False
XRP,XRP_19,2024-09-15,2024-09-15,1,C,-0.21078838174273862,False,False,True,False
XRP,XRP_20,2024-10-02,2024-10-06,2,A|B|C|D,-0.25546334716459196,True,True,True,True
XRP,XRP_21,2024-12-05,2024-12-29,6,A|B|C|D,-0.23134520095430355,True,True,True,True
XRP,XRP_22,2025-01-19,2025-03-09,12,A|B|C|D,-0.3275162720498066,True,True,True,True
XRP,XRP_23,2025-04-06,2025-04-08,3,A|B|D,-0.16009725534203023,True,True,False,True
XRP,XRP_24,2025-07-23,2025-08-02,3,B|C|D,-0.21994704821991884,False,True,True,True
XRP,XRP_25,2025-08-29,2025-09-04,2,C,-0.21287742226228024,False,False,True,False
XRP,XRP_26,2025-09-23,2025-10-16,6,A|B|C|D,-0.23423571593039705,True,True,True,True
XRP,XRP_27,2025-11-03,2025-11-04,2,A|B|D,-0.15291541829914734,True,True,False,True
XRP,XRP_28,2025-11-21,2025-11-21,1,B,-0.12010644055565578,False,True,False,False
XRP,XRP_29,2026-01-31,2026-02-05,3,A|B|D,-0.2626274890723653,True,True,False,True
XRP,XRP_30,2026-06-05,2026-06-05,1,A,-0.1745864661654135,True,False,False,False
