rank,members,size,strategy,f1,precision,recall,false_alarm_rate,avg_lead_time,total_signals,detected_crashes,total_crashes
116,M8+V4+VOL4,3,OR,0.5382478320341031,0.37587986860628814,0.947565543071161,0.6241201313937119,9.991298930076702,2131,253,267
117,X5+VOL3+M6,3,OR,0.5365591759501823,0.3719485130936529,0.9625468164794008,0.628051486906347,10.369548919955108,2253,257,267
118,VOL3+M6,2,OR,0.5363584888398762,0.3975806451612903,0.8239700374531835,0.6024193548387097,10.631539874781273,1240,220,267
119,VOL6+VOL3+V4,3,OR,0.536156596282616,0.36937647987371747,0.9775280898876404,0.6306235201262825,10.620523720608617,2534,261,267
120,M7+V7+X5,3,OR,0.5360629547356899,0.36822973464194836,0.9850187265917603,0.6317702653580516,10.114490325975495,2751,263,267
121,M8+VOL3+V4,3,OR,0.5354230888387447,0.3714165261382799,0.9588014981273408,0.6285834738617201,10.311555327065648,2372,256,267
122,V7+VOL3+M6,3,OR,0.5353596202235397,0.372491434165443,0.951310861423221,0.627508565834557,10.68011025997903,2043,254,267
123,M8+V4,2,OR,0.5352899704937724,0.37477148080438755,0.9363295880149812,0.6252285191956124,9.854155610104534,1641,250,267
124,M6+VOL4,2,OR,0.5350717136596534,0.4015817223198594,0.8014981273408239,0.5984182776801406,9.838150507101311,1138,214,267
125,X5+M6+VOL4,3,OR,0.5348967715581032,0.3703527168732126,0.9625468164794008,0.6296472831267874,10.009543587800174,2098,257,267
126,VOL6+M8+V4,3,OR,0.533893504531722,0.3672316384180791,0.9775280898876404,0.632768361581921,10.302282121248998,2655,261,267
127,X5+M6,2,OR,0.5310843879956162,0.3706614276358874,0.9363295880149812,0.6293385723641126,9.948518242595593,1527,250,267
128,VOL6+V4,2,OR,0.5310790132438237,0.3656267104542967,0.9700374531835206,0.6343732895457034,10.375519175981905,1827,259,267
129,VOL6+V4+VOL4,3,OR,0.5296566843082561,0.3642797668609492,0.9700374531835206,0.6357202331390508,10.318865328855205,2402,259,267
130,VOL6+V7+M6,3,OR,0.5295606887756704,0.36525612472160357,0.9625468164794008,0.6347438752783965,10.582400103713464,2245,257,267
131,V7+VOL3+V4,3,OR,0.5291453940066593,0.3627537511032657,0.9775280898876404,0.6372462488967343,10.634080542853447,2266,261,267
132,M8+V7+V4,3,OR,0.5284178187403994,0.36363636363636365,0.9662921348314607,0.6363636363636364,10.31418866522331,2387,258,267
133,V7+V4+VOL4,3,OR,0.5278562259306804,0.36363636363636365,0.9625468164794008,0.6363636363636364,10.284264158454658,2123,257,267
134,VOL3+V4+VOL4,3,OR,0.5272057343889864,0.36864813039309685,0.9250936329588015,0.6313518696069031,10.315986102509548,2086,247,267
135,M8+X5+V4,3,OR,0.5261471868236618,0.36096786989289964,0.9700374531835206,0.6390321301071004,10.039164487010657,2521,259,267
136,VOL6+M8+VOL3,3,OR,0.525987525987526,0.3640287769784173,0.947565543071161,0.6359712230215827,10.62644405338078,2780,253,267
137,V7+M6,2,OR,0.5258742684031212,0.37294761532447224,0.8913857677902621,0.6270523846755277,10.503259883386345,1279,238,267
138,VOL6+V7+V4,3,OR,0.5256679991584263,0.3584905660377358,0.9850187265917603,0.6415094339622641,10.592639363500732,2438,263,267
139,VOL6+X5+M6,3,OR,0.5247004863654117,0.3611764705882353,0.9588014981273408,0.6388235294117647,10.370722638391538,2550,256,267
140,X5+VOL3+V4,3,OR,0.5230790334011568,0.35757822023567654,0.9737827715355806,0.6424217797643235,10.378557734216097,2461,260,267
141,M5+M7+M6,3,WEIGHTED,0.5224217583104658,0.4630541871921182,0.599250936329588,0.5369458128078818,10.191808764474908,609,160,267
142,M5+M7+M6,3,MAJORITY,0.5224217583104658,0.4630541871921182,0.599250936329588,0.5369458128078818,10.191808764474908,609,160,267
143,VOL6+M8+VOL4,3,OR,0.5218579602827331,0.36229635376260666,0.9325842696629213,0.6377036462373933,10.472339806143143,2578,249,267
144,VOL3+V4,2,OR,0.5217116899823123,0.37207748830995324,0.8726591760299626,0.6279225116900468,10.481138854962744,1497,233,267
145,M8+VOL3+VOL4,3,OR,0.5196776839717246,0.367382726874178,0.8876404494382022,0.632617273125822,10.40770679739305,2281,237,267
146,VOL6+VOL3+VOL4,3,OR,0.5185634342154213,0.35968688845401176,0.9288389513108615,0.6403131115459882,10.667322930114244,2555,248,267
147,M8+V7+VOL3,3,OR,0.5184955308577139,0.35742496050552924,0.9438202247191011,0.6425750394944708,10.602968265157148,2532,252,267
148,M8+VOL3,2,OR,0.5182153827681778,0.36786703601108034,0.8764044943820225,0.6321329639889197,10.40553249205471,1805,234,267
149,VOL6+X5+V4,3,OR,0.5176501213242471,0.35203520352035206,0.9775280898876404,0.647964796479648,10.37582170191174,2727,261,267
150,V4+VOL4,2,OR,0.5176065331437704,0.37064492216456635,0.8576779026217228,0.6293550778354337,9.822168376121668,1349,229,267
151,X5+V4+VOL4,3,OR,0.5174289224528557,0.35381263616557734,0.9625468164794008,0.6461873638344227,10.016740338440592,2295,257,267
152,M8+X5+VOL3,3,OR,0.5169322049611295,0.35924528301886793,0.9213483146067416,0.6407547169811321,10.37053590478625,2650,246,267
153,VOL6+M8,2,OR,0.5169121301697753,0.3586597451628126,0.9250936329588015,0.6413402548371874,10.432119989155892,2119,247,267
